HUD frame time nsec:,34972000

Range Index,Elapsed Time, First Event,Last Event
0,16736,143,143
1,39968,145,145
2,197088,148,148
3,364000,174,174
4,953248,191,191
5,5120,212,212
6,1120,229,229
7,150112,241,241
8,46208,246,246
9,22843264,393,393
10,43904,395,395
11,401888,404,404
12,1160032,457,457
13,1120,470,470
14,521632,482,482
15,273856,555,555
16,1088,557,557
17,1088,599,599
18,1184,602,602
19,1120,609,609
20,1216,616,616
21,1120,619,619
22,3078240,636,636
