HUD frame time nsec:,34603000

Range Index,Elapsed Time, First Event,Last Event
0,17728,143,143
1,33568,145,145
2,218464,148,148
3,384768,174,174
4,1086944,191,191
5,4416,212,212
6,1440,229,229
7,64224,241,241
8,46368,246,246
9,22693152,393,393
10,46240,395,395
11,409696,404,404
12,1074816,457,457
13,1120,470,470
14,534400,482,482
15,278080,555,555
16,1248,557,557
17,1184,599,599
18,1248,602,602
19,1120,609,609
20,1792,612,612
21,1120,619,619
22,4064544,636,636
